txn_id,card_last4,merchant_name,mcc,auth_amount_usd,auth_ts,captured_ts,status,decline_code,customer_ref,currency_code
TXN-80927d106c60,4012,ADNOC,5541,235.28,2026-04-06T10:29:55Z,2026-04-06T10:30:04Z,APPROVED,,CUST-00018,AED
TXN-52ba430f801d,2615,Etisalat,4814,1381.44,2026-04-06T05:42:32Z,2026-04-06T05:43:29Z,APPROVED,,CUST-00036,AED
TXN-4bd28d7248e2,1424,Lulu Hypermarket,5411,109.36,2026-04-09T07:09:01Z,2026-04-09T07:09:17Z,APPROVED,,CUST-00003,USD
TXN-d010dfed2c43,6201,Costa Coffee,5814,390.61,2026-04-15T12:10:52Z,2026-04-15T12:11:49Z,APPROVED,,CUST-00011,GBP
TXN-aa14ecab3301,4557,du,4814,2006.58,2026-04-14T22:51:52Z,2026-04-14T22:52:17Z,APPROVED,,CUST-00018,AED
TXN-f0fedbccc477,0488,Amazon AE,5942,2042.38,2026-04-04T15:42:29Z,2026-04-04T15:42:44Z,APPROVED,,CUST-00023,AED
TXN-62e1a8f7ef5a,8928,Lulu Hypermarket,5411,700.11,2026-04-23T15:07:09Z,2026-04-23T15:07:35Z,APPROVED,,CUST-00050,AED
TXN-3b0e0710d430,8279,ADNOC,5541,450.53,2026-04-14T02:42:34Z,2026-04-14T02:43:21Z,APPROVED,,CUST-00003,AED
TXN-c5381d9af659,1519,ADNOC,5541,479.25,2026-04-24T20:17:10Z,2026-04-24T20:18:02Z,APPROVED,,CUST-00046,AED
TXN-64e1abae4f43,0106,ENOC,5541,179.58,2026-04-10T23:17:21Z,2026-04-10T23:18:08Z,APPROVED,,CUST-00040,AED
TXN-9e5a81d2c7de,4557,Sharaf DG,5732,818.83,2026-04-12T15:32:13Z,2026-04-12T15:32:38Z,APPROVED,,CUST-00036,AED
TXN-591ae71e43a6,1519,Costa Coffee,5814,755.87,2026-03-31T09:36:25Z,2026-03-31T09:37:16Z,APPROVED,,CUST-00001,AED
TXN-a4fda79ac9aa,2615,Apple Store Dubai Mall,5732,1108.19,2026-04-16T15:01:12Z,,DECLINED,14,CUST-00033,AED
TXN-914c15b52908,4333,Starbucks,5814,1584.19,2026-04-10T17:28:39Z,2026-04-10T17:29:23Z,APPROVED,,CUST-00006,AED
TXN-65f4ce7ae7f6,0409,Noon,5942,120.3,2026-04-03T22:25:34Z,2026-04-03T22:26:01Z,APPROVED,,CUST-00040,AED
TXN-638d935f2b0a,7527,Etisalat,4814,963.03,2026-04-07T14:22:15Z,2026-04-07T14:23:13Z,APPROVED,,CUST-00016,AED
TXN-700b6cd66193,7527,Noon,5942,1297.3,2026-04-24T13:29:29Z,2026-04-24T13:29:59Z,APPROVED,,CUST-00036,AED
TXN-f308dc8aee30,8279,Apple Store Dubai Mall,5732,1880.68,2026-04-13T12:54:32Z,2026-04-13T12:54:48Z,APPROVED,,CUST-00050,AED
TXN-780f49257af1,8928,Emirates,4111,802.68,2026-03-31T18:40:38Z,2026-03-31T18:41:23Z,APPROVED,,CUST-00006,AED
TXN-20e236c59dac,4557,Lulu Hypermarket,5411,830.55,2026-04-04T09:09:32Z,2026-04-04T09:09:57Z,APPROVED,,CUST-00027,AED
TXN-0a00b20dcb6e,1291,RTA,4111,1441.35,2026-04-03T20:16:42Z,2026-04-03T20:17:07Z,APPROVED,,CUST-00001,USD
TXN-f9f93875394c,9863,Amazon AE,5942,1092.41,2026-04-25T14:11:02Z,2026-04-25T14:11:28Z,APPROVED,,CUST-00025,AED
TXN-ef4dd72b6108,1424,ADNOC,5541,2451.9,2026-04-01T01:42:04Z,,APPROVED,,CUST-00002,USD
TXN-ef4dd72b6108,1424,ADNOC,5541,2451.9,2026-04-01T01:42:04Z,2026-04-01T01:42:47Z,APPROVED,,CUST-00002,USD
TXN-db73a48b3dbe,6924,Noon,5942,458.41,2026-04-14T08:53:46Z,2026-04-14T08:54:08Z,APPROVED,,CUST-00025,AED
TXN-8e77610e6a64,4557,du,4814,634.42,2026-04-23T00:34:21Z,2026-04-23T00:34:44Z,APPROVED,,CUST-00031,AED
TXN-66123f4df561,0409,RTA,4111,1555.23,2026-04-15T10:04:30Z,2026-04-15T10:04:44Z,APPROVED,,CUST-00009,AED
TXN-55e85e6fea07,1584,Costa Coffee,5814,2409.52,2026-04-21T10:33:35Z,2026-04-21T10:33:42Z,REVERSED,,CUST-00050,AED
TXN-0d259424aed5,9195,ADNOC,5541,1441.61,2026-04-08T18:44:09Z,2026-04-08T18:44:47Z,APPROVED,,CUST-00026,USD
TXN-7c56a092f52a,7527,Talabat,5812,1932.34,2026-03-28T20:28:12Z,2026-03-28T20:28:15Z,APPROVED,,CUST-00008,AED
TXN-234e5eddbbbf,9891,Starbucks,5814,856.37,2026-04-06T14:35:46Z,2026-04-06T14:36:27Z,REVERSED,,CUST-00032,AED
TXN-def8272a6d8e,2045,Noon,5942,1306.76,2026-04-13T21:19:53Z,2026-04-13T21:20:24Z,APPROVED,,CUST-00040,AED
TXN-896b97ac6aa8,3811,ENOC,5541,2077.67,2026-04-22T19:01:50Z,2026-04-22T19:02:20Z,APPROVED,,CUST-00018,USD
TXN-c20aab0e664e,0409,ENOC,5541,1238.29,2026-04-11T05:19:52Z,2026-04-11T05:20:09Z,APPROVED,,CUST-00012,AED
TXN-61d2f2b43abf,3811,Talabat,5812,1801.59,2026-04-03T06:45:56Z,2026-04-03T06:46:38Z,APPROVED,,CUST-00036,AED
TXN-2fa4046a0df5,3582,Emirates,4111,1013.98,2026-04-15T04:31:45Z,2026-04-15T04:32:21Z,APPROVED,,CUST-00020,AED
TXN-b42054aebd1b,6924,Etisalat,4814,680.94,2026-04-14T19:05:37Z,2026-04-14T19:05:45Z,APPROVED,,CUST-00015,AED
TXN-5ecbb0ae8f08,1535,Amazon AE,5942,1847.82,2026-04-13T13:51:17Z,2026-04-13T13:51:56Z,APPROVED,,CUST-00047,AED
TXN-97ad31b1b099,3611,Amazon AE,5942,452.71,2026-04-26T07:30:58Z,2026-04-26T07:31:02Z,APPROVED,,CUST-00046,AED
TXN-34867daa39f0,1824,RTA,4111,1437.29,2026-04-04T05:06:47Z,2026-04-04T05:06:51Z,APPROVED,,CUST-00031,AED
TXN-f498dc99e04c,3657,Talabat,5812,1004.77,2026-04-23T09:41:17Z,2026-04-23T09:41:27Z,APPROVED,,CUST-00037,AED
TXN-9b90f2f9e5fa,3811,Talabat,5812,300.54,2026-04-06T19:07:20Z,2026-04-06T19:08:10Z,APPROVED,,CUST-00039,AED
TXN-983e715629ee,6224,RTA,4111,2475.13,2026-04-12T04:12:23Z,2026-04-12T04:13:11Z,APPROVED,,CUST-00037,AED
TXN-6a63c342bd2b,1535,Sharaf DG,5732,665.29,2026-04-23T01:24:36Z,,APPROVED,,CUST-00011,AED
TXN-6a63c342bd2b,1535,Sharaf DG,5732,665.29,2026-04-23T01:24:36Z,2026-04-23T01:24:47Z,APPROVED,,CUST-00011,AED
TXN-f098980402a2,4506,Emirates,4111,582.53,2026-04-13T06:36:34Z,2026-04-13T06:36:49Z,APPROVED,,CUST-00045,USD
TXN-6548ef04e57d,8935,Lulu Hypermarket,5411,1363.68,2026-04-19T18:24:54Z,2026-04-19T18:25:05Z,APPROVED,,CUST-00018,AED
TXN-93c4ebd34616,8935,Apple Store Dubai Mall,5732,1174.4,2026-04-12T05:42:30Z,2026-04-12T05:43:05Z,APPROVED,,CUST-00045,AED
TXN-0d3e40181c6e,3582,Talabat,5812,2404.97,2026-03-30T01:50:41Z,2026-03-30T01:51:25Z,REVERSED,,CUST-00038,GBP
TXN-89fdd248a9a7,4506,Costa Coffee,5814,1908.96,2026-04-18T11:53:17Z,2026-04-18T11:53:35Z,APPROVED,,CUST-00031,AED
TXN-df2c95d82980,4552,Sharaf DG,5732,2422.79,2026-04-04T04:23:54Z,2026-04-04T04:24:01Z,APPROVED,,CUST-00023,AED
TXN-d2c3546e035a,4552,Etisalat,4814,724.1,2026-04-07T13:26:22Z,2026-04-07T13:26:43Z,APPROVED,,CUST-00049,AED
TXN-cef0c5c5b37a,2547,RTA,4111,2063.19,2026-04-26T22:39:33Z,2026-04-26T22:39:37Z,APPROVED,,CUST-00043,USD
TXN-ff3ac1a6423b,2615,Sharaf DG,5732,1901.18,2026-04-17T02:50:15Z,,DECLINED,05,CUST-00018,AED
TXN-3e2b7c16128d,5635,Carrefour,5411,1524.13,2026-04-15T09:11:54Z,2026-04-15T09:12:30Z,APPROVED,,CUST-00046,AED
TXN-ec421d0bc9bd,9891,Talabat,5812,2081.2,2026-04-02T19:21:02Z,2026-04-02T19:21:29Z,APPROVED,,CUST-00046,AED
TXN-f1c6faf14ff0,6924,Amazon AE,5942,1380.41,2026-04-08T09:05:24Z,2026-04-08T09:06:21Z,APPROVED,,CUST-00013,USD
TXN-8d7011df12d7,4557,du,4814,852.99,2026-04-02T08:26:34Z,2026-04-02T08:26:54Z,APPROVED,,CUST-00018,AED
TXN-fab2a8f1e091,9674,RTA,4111,1119.14,2026-04-03T11:42:05Z,2026-04-03T11:42:30Z,APPROVED,,CUST-00023,AED
TXN-7a44b28f41de,7359,Costa Coffee,5814,587.74,2026-04-07T01:24:45Z,2026-04-07T01:25:44Z,APPROVED,,CUST-00003,AED
TXN-4de0fb16e5db,4506,Apple Store Dubai Mall,5732,319.98,2026-03-29T08:23:24Z,,DECLINED,05,CUST-00022,USD
TXN-e9f2e912b4bf,2045,Carrefour,5411,364.67,2026-04-19T12:09:23Z,2026-04-19T12:09:45Z,REVERSED,,CUST-00005,AED
TXN-c290889b78d5,5635,ENOC,5541,1798.2,2026-04-03T07:30:00Z,2026-04-03T07:30:41Z,APPROVED,,CUST-00035,AED
TXN-de311723199d,1291,Talabat,5812,1586.2,2026-04-22T02:54:03Z,,APPROVED,,CUST-00029,AED
TXN-de311723199d,1291,Talabat,5812,1586.2,2026-04-22T02:54:03Z,2026-04-22T02:54:05Z,APPROVED,,CUST-00029,AED
TXN-1cbbcbd00ef2,6873,Emirates,4111,940.23,2026-04-19T22:23:57Z,2026-04-19T22:24:48Z,APPROVED,,CUST-00016,AED
TXN-286e2cd1586a,7359,Costa Coffee,5814,1551.18,2026-04-15T07:24:47Z,2026-04-15T07:25:17Z,APPROVED,,CUST-00032,USD
TXN-82ba75a66981,1824,Sharaf DG,5732,2247.78,2026-04-04T09:56:27Z,2026-04-04T09:56:56Z,APPROVED,,CUST-00019,AED
TXN-d93ff6478986,8279,Etisalat,4814,1144.81,2026-04-12T08:00:10Z,,DECLINED,51,CUST-00013,GBP
TXN-c3423cb98350,6873,Costa Coffee,5814,1439.16,2026-04-12T16:01:53Z,,APPROVED,,CUST-00002,GBP
TXN-c3423cb98350,6873,Costa Coffee,5814,1439.16,2026-04-12T16:01:53Z,2026-04-12T16:02:11Z,APPROVED,,CUST-00002,GBP
TXN-191cf93e08d5,1584,ADNOC,5541,1864.2,2026-04-13T02:33:35Z,2026-04-13T02:33:58Z,APPROVED,,CUST-00050,AED
TXN-9e2c0a17991e,2615,du,4814,88.24,2026-04-09T06:54:22Z,,DECLINED,05,CUST-00047,AED
TXN-d4bcbf5ae7e6,0488,Noon,5942,334.74,2026-03-31T19:32:40Z,,DECLINED,51,CUST-00024,AED
TXN-971cce7607ad,8928,Etisalat,4814,2011.56,2026-04-04T06:21:16Z,2026-04-04T06:22:12Z,REVERSED,,CUST-00005,AED
TXN-bb468eac0a33,9654,Talabat,5812,39.73,2026-03-31T22:50:53Z,2026-03-31T22:51:37Z,APPROVED,,CUST-00008,AED
TXN-37795f18e583,3582,Sharaf DG,5732,1181.33,2026-03-30T17:54:47Z,2026-03-30T17:54:52Z,APPROVED,,CUST-00021,USD
TXN-9ab8b379cb1e,4557,Sharaf DG,5732,296.11,2026-04-24T19:10:02Z,2026-04-24T19:10:09Z,APPROVED,,CUST-00003,AED
TXN-4575899ca782,6924,Lulu Hypermarket,5411,930.67,2026-03-31T18:37:49Z,2026-03-31T18:38:46Z,APPROVED,,CUST-00027,AED
TXN-8f3af396ea37,7527,Carrefour,5411,929.47,2026-04-05T11:25:17Z,,DECLINED,51,CUST-00029,GBP
TXN-b7a4a5135ea0,9654,Carrefour,5411,693.32,2026-04-21T01:40:26Z,2026-04-21T01:41:07Z,APPROVED,,CUST-00030,AED
TXN-19e50577aea9,8928,du,4814,612.7,2026-04-20T21:17:17Z,2026-04-20T21:17:53Z,APPROVED,,CUST-00037,AED
TXN-774bdea45c19,9044,ENOC,5541,373.15,2026-03-29T01:37:52Z,2026-03-29T01:38:01Z,REVERSED,,CUST-00001,AED
TXN-80558a4b8f7c,0520,du,4814,279.27,2026-04-25T17:57:51Z,2026-04-25T17:58:07Z,APPROVED,,CUST-00009,AED
TXN-5936040a3aae,4012,Emirates,4111,321.26,2026-04-06T13:32:44Z,2026-04-06T13:33:13Z,APPROVED,,CUST-00034,AED
TXN-e76d1beaf6ac,3582,Starbucks,5814,2363.81,2026-04-24T21:28:34Z,,DECLINED,14,CUST-00047,AED
TXN-ea844d37a539,0409,Sharaf DG,5732,156.76,2026-04-03T17:56:45Z,2026-04-03T17:57:31Z,APPROVED,,CUST-00026,AED
TXN-a4eb14aeaf5c,9674,Costa Coffee,5814,168.88,2026-04-13T15:35:00Z,2026-04-13T15:35:21Z,APPROVED,,CUST-00040,AED
TXN-e84d4b7e6b3c,1584,Starbucks,5814,1078.35,2026-04-21T10:41:53Z,2026-04-21T10:42:40Z,APPROVED,,CUST-00042,AED
TXN-e7326e191042,3582,ADNOC,5541,1037.46,2026-04-04T23:38:08Z,2026-04-04T23:38:36Z,APPROVED,,CUST-00026,AED
TXN-bfa44140752c,0711,Noon,5942,2307.85,2026-04-23T17:47:03Z,2026-04-23T17:47:10Z,APPROVED,,CUST-00006,AED
TXN-a8c78fca7b6a,8935,Sharaf DG,5732,1029.97,2026-04-06T11:14:35Z,2026-04-06T11:14:55Z,APPROVED,,CUST-00047,AED
TXN-4f3836760ce5,5574,Sharaf DG,5732,564.49,2026-04-21T17:55:00Z,2026-04-21T17:55:49Z,APPROVED,,CUST-00023,AED
TXN-0d718e867f3c,4333,Costa Coffee,5814,2074.5,2026-04-14T00:24:03Z,2026-04-14T00:24:23Z,APPROVED,,CUST-00002,AED
TXN-032059dcabd0,9674,Noon,5942,1417.97,2026-04-07T13:03:09Z,2026-04-07T13:03:11Z,APPROVED,,CUST-00005,AED
TXN-6e2587cdb6a1,4557,Lulu Hypermarket,5411,1136.85,2026-04-19T08:36:18Z,2026-04-19T08:36:55Z,APPROVED,,CUST-00024,AED
TXN-1aefe222b6a6,6912,Noon,5942,1887.32,2026-04-24T14:01:21Z,2026-04-24T14:01:49Z,APPROVED,,CUST-00044,AED
TXN-d40f7129cec7,1535,Emirates,4111,1888.58,2026-04-21T11:23:35Z,2026-04-21T11:24:19Z,APPROVED,,CUST-00023,AED
TXN-17404ef492c1,9654,Amazon AE,5942,2461.19,2026-04-24T08:10:28Z,,DECLINED,51,CUST-00001,AED
TXN-82d3c3a00c6f,3257,Emirates,4111,304.36,2026-04-02T20:30:15Z,2026-04-02T20:30:50Z,APPROVED,,CUST-00048,AED
TXN-b555ce6322b6,9654,Talabat,5812,2155.1,2026-04-24T22:42:52Z,,DECLINED,05,CUST-00028,AED
TXN-dbcb9364f3d0,9654,Costa Coffee,5814,1775.2,2026-04-06T17:21:05Z,2026-04-06T17:21:26Z,APPROVED,,CUST-00019,AED
TXN-2d1f5ca260c9,1679,Lulu Hypermarket,5411,612.07,2026-03-29T09:54:55Z,2026-03-29T09:55:15Z,APPROVED,,CUST-00026,AED
TXN-aa8738b8f24e,6912,du,4814,195.57,2026-04-21T11:08:58Z,,DECLINED,05,CUST-00034,AED
TXN-78f825cf0041,9674,Talabat,5812,643.64,2026-04-18T13:51:33Z,2026-04-18T13:51:38Z,APPROVED,,CUST-00039,AED
TXN-ed8b7e7e7419,1519,du,4814,1900.89,2026-04-05T04:59:15Z,2026-04-05T04:59:56Z,APPROVED,,CUST-00044,USD
TXN-4d4a50ee7a92,3657,Apple Store Dubai Mall,5732,1174.96,2026-04-12T07:11:20Z,2026-04-12T07:11:25Z,APPROVED,,CUST-00018,AED
TXN-134173b0a091,3611,Carrefour,5411,2080.08,2026-04-23T06:36:07Z,,DECLINED,14,CUST-00042,USD
TXN-ece8626d719d,1674,Costa Coffee,5814,2385.81,2026-04-25T00:12:19Z,2026-04-25T00:12:32Z,APPROVED,,CUST-00029,USD
TXN-e6aa0fd6f47e,8928,Talabat,5812,2456.05,2026-04-22T21:44:58Z,2026-04-22T21:45:44Z,APPROVED,,CUST-00033,AED
TXN-ba5028a39779,0434,ENOC,5541,971.6,2026-04-10T13:46:26Z,2026-04-10T13:47:08Z,APPROVED,,CUST-00044,AED
TXN-306354669d19,0711,Starbucks,5814,969.48,2026-04-14T18:24:14Z,2026-04-14T18:24:53Z,REVERSED,,CUST-00047,USD
TXN-4cfddf8f4197,2286,ENOC,5541,1458.94,2026-04-20T03:13:27Z,2026-04-20T03:14:10Z,APPROVED,,CUST-00023,AED
TXN-2b60f020e992,1674,Emirates,4111,944.81,2026-04-11T01:17:50Z,2026-04-11T01:18:38Z,APPROVED,,CUST-00009,AED
TXN-d8c8aba301cb,3611,Starbucks,5814,50.49,2026-04-12T00:08:42Z,2026-04-12T00:09:32Z,APPROVED,,CUST-00012,GBP
TXN-4f5423377bbc,0434,Talabat,5812,2111.85,2026-04-22T02:09:45Z,2026-04-22T02:10:42Z,APPROVED,,CUST-00033,AED
TXN-ac6ca97431db,9044,ADNOC,5541,1546.99,2026-03-29T00:09:27Z,2026-03-29T00:10:12Z,APPROVED,,CUST-00025,AED
TXN-165e700b5d5f,3611,Lulu Hypermarket,5411,1692.53,2026-04-15T11:15:27Z,2026-04-15T11:16:18Z,APPROVED,,CUST-00029,AED
TXN-7a7488b4f474,5574,Emirates,4111,2260.42,2026-04-17T13:57:18Z,2026-04-17T13:57:47Z,APPROVED,,CUST-00024,AED
TXN-d65a87079ad4,0488,Noon,5942,2004.14,2026-04-20T06:45:15Z,2026-04-20T06:45:39Z,APPROVED,,CUST-00017,AED
TXN-3fd5d9e604b3,2286,Emirates,4111,1908.98,2026-04-13T18:10:31Z,2026-04-13T18:10:59Z,APPROVED,,CUST-00029,USD
TXN-71aee916da57,2615,RTA,4111,2212.15,2026-04-25T16:55:38Z,2026-04-25T16:55:54Z,APPROVED,,CUST-00027,AED
TXN-bff414e4180c,0409,Amazon AE,5942,800.12,2026-04-22T04:33:36Z,,APPROVED,,CUST-00046,AED
TXN-bff414e4180c,0409,Amazon AE,5942,800.12,2026-04-22T04:33:36Z,2026-04-22T04:33:45Z,APPROVED,,CUST-00046,AED
TXN-470fd4c3a832,8785,du,4814,1175.43,2026-03-28T03:04:03Z,2026-03-28T03:04:17Z,APPROVED,,CUST-00001,USD
TXN-d8b4871c0884,9044,Talabat,5812,723.81,2026-04-12T09:08:01Z,2026-04-12T09:08:52Z,APPROVED,,CUST-00008,AED
TXN-38c210142131,4552,RTA,4111,1493.86,2026-04-26T04:51:06Z,2026-04-26T04:51:16Z,APPROVED,,CUST-00041,AED
TXN-7b2b5a5226e6,4557,Costa Coffee,5814,472.35,2026-04-22T20:15:10Z,2026-04-22T20:15:44Z,APPROVED,,CUST-00034,GBP
TXN-c7e90534a101,5574,RTA,4111,113.62,2026-04-08T05:15:03Z,,APPROVED,,CUST-00024,AED
TXN-c7e90534a101,5574,RTA,4111,113.62,2026-04-08T05:15:03Z,2026-04-08T05:15:54Z,APPROVED,,CUST-00024,AED
TXN-aa3fc1b5b5ca,4506,Noon,5942,883.99,2026-04-10T13:33:50Z,2026-04-10T13:34:20Z,APPROVED,,CUST-00042,AED
TXN-204e2285b2ef,9044,Etisalat,4814,2359.29,2026-04-25T04:54:39Z,,APPROVED,,CUST-00019,AED
TXN-204e2285b2ef,9044,Etisalat,4814,2359.29,2026-04-25T04:54:39Z,2026-04-25T04:55:36Z,APPROVED,,CUST-00019,AED
TXN-9ec2eef16694,9654,Starbucks,5814,2472.86,2026-03-31T15:19:25Z,2026-03-31T15:19:38Z,APPROVED,,CUST-00031,AED
TXN-a9f2a7de02cc,8935,Emirates,4111,1999.36,2026-04-05T18:54:54Z,,DECLINED,05,CUST-00026,AED
TXN-fe0e2fd340c0,4552,Etisalat,4814,921.53,2026-04-01T19:00:00Z,2026-04-01T19:00:06Z,APPROVED,,CUST-00018,AED
TXN-a4754b3446bc,2286,Talabat,5812,823.16,2026-04-12T15:33:17Z,2026-04-12T15:33:28Z,APPROVED,,CUST-00020,AED
TXN-e4ee59fefbbc,2045,Carrefour,5411,2175.74,2026-04-09T21:14:20Z,2026-04-09T21:15:11Z,APPROVED,,CUST-00040,GBP
TXN-cffaa334058a,2547,ENOC,5541,2003.73,2026-04-19T05:36:08Z,2026-04-19T05:36:59Z,APPROVED,,CUST-00002,AED
TXN-226c20509c62,9044,Amazon AE,5942,1614.68,2026-04-09T10:03:51Z,2026-04-09T10:04:01Z,APPROVED,,CUST-00025,USD
TXN-bdeff2e6195f,2615,ENOC,5541,1908.9,2026-03-30T03:19:58Z,2026-03-30T03:20:40Z,APPROVED,,CUST-00009,AED
TXN-3a15f5e4a471,6201,Carrefour,5411,469.19,2026-04-01T20:46:59Z,2026-04-01T20:47:49Z,APPROVED,,CUST-00025,USD
TXN-6ddc723ef466,0434,Costa Coffee,5814,1736.48,2026-04-03T03:42:38Z,,DECLINED,05,CUST-00013,AED
TXN-e3e5b69f68c3,0711,Talabat,5812,2419.07,2026-04-11T11:39:12Z,2026-04-11T11:39:47Z,APPROVED,,CUST-00043,AED
TXN-3e233967e60a,1424,Amazon AE,5942,595.66,2026-04-03T00:25:22Z,2026-04-03T00:25:52Z,APPROVED,,CUST-00002,AED
TXN-42718d38bbd8,2286,Costa Coffee,5814,169.04,2026-04-07T16:06:37Z,2026-04-07T16:07:27Z,APPROVED,,CUST-00046,AED
TXN-25c2932cae01,3257,Noon,5942,1607.63,2026-04-05T03:44:31Z,2026-04-05T03:45:28Z,APPROVED,,CUST-00030,AED
TXN-5d2a96792482,1424,du,4814,1084.38,2026-04-24T07:26:22Z,2026-04-24T07:26:33Z,APPROVED,,CUST-00008,AED
TXN-7370b596ca7c,3527,ENOC,5541,2237.84,2026-04-23T04:07:18Z,2026-04-23T04:07:36Z,REVERSED,,CUST-00017,AED
TXN-2fd58892042f,9891,Starbucks,5814,425.75,2026-03-29T19:29:53Z,2026-03-29T19:30:51Z,APPROVED,,CUST-00010,AED
TXN-151790494583,0409,RTA,4111,207.65,2026-03-30T00:00:47Z,2026-03-30T00:01:14Z,APPROVED,,CUST-00017,AED
TXN-fefe07c0d116,5635,ADNOC,5541,1366.22,2026-04-12T08:02:06Z,2026-04-12T08:02:32Z,APPROVED,,CUST-00031,AED
TXN-50ef0f5675f8,4557,Apple Store Dubai Mall,5732,1213.21,2026-04-17T02:17:46Z,2026-04-17T02:18:32Z,APPROVED,,CUST-00022,AED
TXN-42f366124ab4,3611,du,4814,1289.88,2026-04-21T20:17:13Z,2026-04-21T20:17:42Z,APPROVED,,CUST-00021,AED
TXN-19e818c8a616,7359,Emirates,4111,2161.09,2026-04-06T16:50:16Z,,DECLINED,05,CUST-00016,GBP
TXN-a01cb89bdf7f,1291,Amazon AE,5942,402.56,2026-04-02T00:18:08Z,2026-04-02T00:18:10Z,APPROVED,,CUST-00030,AED
