id,biller_code,biller_name,biller_category,amount,currency,scheduled_for,executed_at,status,customer_id,account_at_biller_last4,funding_source
9031,ADWEA-002,ADWEA,UTILITIES,2632.73,AED,2026-04-20,2026-04-03T04:59:16Z,paid,CUST-00009,N/A,wallet
9032,ADWEA-002,ADWEA,UTILITIES,1355.87,AED,2026-04-18,2026-04-09T20:42:51Z,paid,CUST-00088,3971,linked_account_USD
9033,ADWEA-002,ADWEA,UTILITIES,421.96,AED,2026-04-12,2026-04-26T08:42:17Z,paid,CUST-00092,N/A,linked_account_AED
9034,ETI-019,Etisalat,TELECOM,2463.85,AED,2026-04-17,2026-03-29T07:59:27Z,paid,CUST-00095,N/A,linked_account_AED
9035,RTA-009,RTA Salik,GOVERNMENT,3293.68,AED,2026-03-31,2026-04-20T16:28:07Z,paid,CUST-00008,N/A,linked_account_AED
9036,TS-011,Tadweer,GOVERNMENT,2591.65,AED,2026-04-03,2026-04-23T16:01:46Z,paid,CUST-00009,6931,linked_account_USD
9037,DU-020,du,TELECOM,4759.90,AED,2026-04-09,2026-04-19T20:23:43Z,paid,CUST-00085,1755,wallet
9038,DEWA-001,DEWA,UTILITIES,4475.79,AED,2026-04-22,2026-04-03T21:08:23Z,paid,CUST-00092,N/A,linked_account_AED
9039,DU-020,du,TELECOM,635.71,AED,2026-04-10,2026-04-06T01:17:49Z,paid,CUST-00007,N/A,linked_account_USD
9040,DLD-008,Dubai Land Department,GOVERNMENT,2564.24,AED,2026-04-26,2026-04-09T01:10:28Z,paid,CUST-00004,N/A,linked_account_USD
9041,DLD-008,Dubai Land Department,GOVERNMENT,1009.96,AED,2026-04-21,2026-03-29T03:52:58Z,paid,CUST-00009,N/A,linked_account_USD
9042,DLD-008,Dubai Land Department,GOVERNMENT,590.46,AED,2026-04-26,2026-04-21T14:34:45Z,paid,CUST-00008,1887,wallet
9043,TS-011,Tadweer,GOVERNMENT,1367.58,AED,2026-04-25,2026-04-13T15:04:00Z,paid,CUST-00008,N/A,linked_account_AED
9044,ADWEA-002,ADWEA,UTILITIES,1138.45,AED,2026-04-01,,scheduled,CUST-00009,8112,wallet
9045,ETI-019,Etisalat,TELECOM,1770.78,AED,2026-04-18,2026-04-13T00:28:51Z,paid,CUST-00094,0050,wallet
9046,EI-010,Emirates ID,GOVERNMENT,4543.52,AED,2026-04-08,2026-04-12T04:16:18Z,paid,CUST-00098,3909,linked_account_AED
9047,DH-012,Daman Health,INSURANCE,393.80,AED,2026-04-22,2026-04-04T21:38:05Z,paid,CUST-00005,N/A,linked_account_AED
9048,SZHP-007,Sharjah Police Fines,GOVERNMENT,153.09,AED,2026-04-19,,scheduled,CUST-00006,N/A,linked_account_AED
9049,TS-011,Tadweer,GOVERNMENT,54.98,AED,2026-03-31,2026-04-21T16:33:22Z,paid,CUST-00002,N/A,wallet
9050,EI-010,Emirates ID,GOVERNMENT,2540.58,AED,2026-04-03,2026-04-22T10:35:13Z,paid,CUST-00004,N/A,linked_account_AED
9051,RTA-009,RTA Salik,GOVERNMENT,3687.33,AED,2026-04-10,2026-04-03T09:11:40Z,paid,CUST-00009,N/A,wallet
9052,SZHP-007,Sharjah Police Fines,GOVERNMENT,1540.61,AED,2026-04-17,,scheduled,CUST-00095,N/A,wallet
9053,DU-020,du,TELECOM,3444.63,AED,2026-04-04,2026-04-19T19:41:01Z,paid,CUST-00084,3608,linked_account_AED
9054,RTA-009,RTA Salik,GOVERNMENT,202.98,AED,2026-04-09,2026-04-06T02:10:28Z,paid,CUST-00082,3380,wallet
9055,DLD-008,Dubai Land Department,GOVERNMENT,3211.73,AED,2026-03-28,2026-03-31T13:07:35Z,paid,CUST-00099,7360,linked_account_AED
9056,DH-012,Daman Health,INSURANCE,1776.78,AED,2026-04-17,2026-04-06T17:49:01Z,paid,CUST-00009,5067,wallet
9057,TS-011,Tadweer,GOVERNMENT,2624.38,AED,2026-04-17,,scheduled,CUST-00004,N/A,linked_account_USD
9058,SZHP-007,Sharjah Police Fines,GOVERNMENT,1477.62,AED,2026-04-27,2026-04-19T20:34:48Z,paid,CUST-00085,N/A,linked_account_USD
9059,EI-010,Emirates ID,GOVERNMENT,3338.39,AED,2026-04-18,2026-04-23T20:42:59Z,paid,CUST-00096,4828,linked_account_AED
9060,DEWA-001,DEWA,UTILITIES,1125.76,AED,2026-04-01,2026-04-24T10:01:32Z,paid,CUST-00086,5010,linked_account_AED
9061,SZHP-007,Sharjah Police Fines,GOVERNMENT,3318.25,AED,2026-04-27,2026-04-20T07:32:46Z,paid,CUST-00082,4641,wallet
9062,DU-020,du,TELECOM,756.09,AED,2026-04-04,2026-03-29T14:09:50Z,paid,CUST-00100,N/A,wallet
9063,DEWA-001,DEWA,UTILITIES,2392.23,AED,2026-04-16,2026-04-08T05:59:49Z,paid,CUST-00084,6539,linked_account_AED
9064,DU-020,du,TELECOM,3005.34,AED,2026-04-22,2026-04-11T08:17:02Z,paid,CUST-00096,9472,linked_account_USD
9065,ETI-019,Etisalat,TELECOM,1287.60,AED,2026-04-14,2026-04-12T09:14:14Z,paid,CUST-00010,N/A,linked_account_USD
9066,DH-012,Daman Health,INSURANCE,2332.71,AED,2026-04-22,2026-04-05T18:58:59Z,paid,CUST-00004,N/A,linked_account_USD
9067,SZHP-007,Sharjah Police Fines,GOVERNMENT,2543.89,AED,2026-04-06,2026-04-04T06:17:57Z,paid,CUST-00082,N/A,linked_account_AED
9068,DLD-008,Dubai Land Department,GOVERNMENT,2333.36,AED,2026-03-29,2026-04-06T13:35:40Z,paid,CUST-00003,N/A,wallet
9069,TS-011,Tadweer,GOVERNMENT,2585.42,AED,2026-04-23,2026-03-30T13:03:29Z,paid,CUST-00099,4806,linked_account_AED
9070,SEWA-003,SEWA,UTILITIES,2044.56,AED,2026-04-27,2026-04-01T20:28:36Z,paid,CUST-00085,0890,wallet
9071,DU-020,du,TELECOM,4157.98,AED,2026-04-07,2026-03-29T03:32:39Z,paid,CUST-00004,N/A,linked_account_USD
9072,SZHP-007,Sharjah Police Fines,GOVERNMENT,4328.35,AED,2026-04-24,2026-04-02T04:51:02Z,paid,CUST-00094,0868,linked_account_USD
9073,SEWA-003,SEWA,UTILITIES,2832.14,AED,2026-03-28,2026-04-16T03:33:11Z,paid,CUST-00099,N/A,linked_account_USD
9074,DU-020,du,TELECOM,3609.75,AED,2026-03-29,2026-04-03T10:59:11Z,paid,CUST-00090,3288,wallet
9075,DEWA-001,DEWA,UTILITIES,807.46,AED,2026-03-30,2026-04-22T07:08:45Z,paid,CUST-00008,3347,linked_account_AED
9076,DEWA-001,DEWA,UTILITIES,4172.00,AED,2026-04-13,2026-04-21T02:04:46Z,paid,CUST-00010,N/A,wallet
9077,ETI-019,Etisalat,TELECOM,4216.52,AED,2026-04-10,2026-03-28T06:04:59Z,paid,CUST-00092,7194,linked_account_AED
9078,SEWA-003,SEWA,UTILITIES,3199.18,AED,2026-04-22,2026-04-15T07:35:07Z,paid,CUST-00006,8380,linked_account_AED
9079,RTA-009,RTA Salik,GOVERNMENT,1485.68,AED,2026-04-06,2026-03-29T10:02:26Z,paid,CUST-00086,N/A,linked_account_AED
9080,DLD-008,Dubai Land Department,GOVERNMENT,3503.38,AED,2026-04-24,2026-04-06T09:02:02Z,paid,CUST-00005,N/A,linked_account_AED
9081,ADWEA-002,ADWEA,UTILITIES,2842.83,AED,2026-04-27,2026-04-25T08:17:24Z,paid,CUST-00091,7282,linked_account_AED
9082,SEWA-003,SEWA,UTILITIES,2366.14,AED,2026-04-04,2026-04-26T13:22:28Z,paid,CUST-00006,5861,linked_account_AED
9083,EI-010,Emirates ID,GOVERNMENT,1983.59,AED,2026-04-25,2026-04-19T15:36:11Z,paid,CUST-00082,N/A,linked_account_AED
9084,SEWA-003,SEWA,UTILITIES,1427.78,AED,2026-04-03,2026-04-07T21:02:24Z,paid,CUST-00003,N/A,linked_account_AED
9085,TS-011,Tadweer,GOVERNMENT,3311.91,AED,2026-04-09,2026-04-02T09:19:31Z,paid,CUST-00095,N/A,wallet
9086,SZHP-007,Sharjah Police Fines,GOVERNMENT,2964.82,AED,2026-04-09,2026-03-28T00:35:23Z,paid,CUST-00097,6615,wallet
9087,DEWA-001,DEWA,UTILITIES,4267.55,AED,2026-04-22,2026-04-21T20:14:40Z,paid,CUST-00086,N/A,wallet
9088,ETI-019,Etisalat,TELECOM,571.89,AED,2026-03-30,2026-04-08T08:30:38Z,paid,CUST-00095,6882,wallet
9089,TS-011,Tadweer,GOVERNMENT,1289.90,AED,2026-04-26,,scheduled,CUST-00003,N/A,linked_account_USD
9090,DH-012,Daman Health,INSURANCE,4211.36,AED,2026-03-29,2026-04-21T18:33:58Z,paid,CUST-00093,N/A,wallet
9091,DH-012,Daman Health,INSURANCE,2890.21,AED,2026-04-21,2026-04-03T03:49:25Z,paid,CUST-00085,4687,wallet
9092,SEWA-003,SEWA,UTILITIES,2198.61,AED,2026-04-11,,scheduled,CUST-00007,1409,linked_account_USD
9093,DH-012,Daman Health,INSURANCE,526.22,AED,2026-04-26,,scheduled,CUST-00099,N/A,linked_account_AED
9094,TS-011,Tadweer,GOVERNMENT,2755.58,AED,2026-04-25,2026-04-01T08:39:20Z,paid,CUST-00086,3115,linked_account_USD
9095,RTA-009,RTA Salik,GOVERNMENT,2529.21,AED,2026-04-16,2026-03-30T21:04:14Z,paid,CUST-00098,2258,linked_account_AED
9096,DLD-008,Dubai Land Department,GOVERNMENT,3146.08,AED,2026-03-31,2026-04-23T04:57:22Z,paid,CUST-00005,N/A,wallet
9097,ADWEA-002,ADWEA,UTILITIES,2518.63,AED,2026-04-26,2026-04-10T22:27:02Z,paid,CUST-00001,N/A,linked_account_AED
9098,DLD-008,Dubai Land Department,GOVERNMENT,3531.20,AED,2026-04-25,,scheduled,CUST-00006,4719,linked_account_USD
9099,TS-011,Tadweer,GOVERNMENT,1244.92,AED,2026-04-11,,failed,CUST-00087,N/A,linked_account_USD
9100,DEWA-001,DEWA,UTILITIES,2752.41,AED,2026-03-30,2026-04-04T03:16:13Z,paid,CUST-00100,4309,wallet
9101,SZHP-007,Sharjah Police Fines,GOVERNMENT,2135.96,AED,2026-04-21,2026-04-24T02:48:13Z,paid,CUST-00005,N/A,linked_account_USD
9102,DEWA-001,DEWA,UTILITIES,1216.31,AED,2026-04-25,,scheduled,CUST-00089,9994,linked_account_AED
9103,ADWEA-002,ADWEA,UTILITIES,4752.04,AED,2026-04-08,2026-04-23T02:06:07Z,paid,CUST-00099,N/A,wallet
9104,DU-020,du,TELECOM,3630.48,AED,2026-04-24,2026-04-02T08:35:54Z,paid,CUST-00008,N/A,linked_account_AED
9105,DU-020,du,TELECOM,3918.63,AED,2026-03-30,,failed,CUST-00001,0906,wallet
9106,EI-010,Emirates ID,GOVERNMENT,3060.29,AED,2026-04-15,2026-04-26T02:55:05Z,paid,CUST-00088,7899,linked_account_AED
9107,DLD-008,Dubai Land Department,GOVERNMENT,3492.43,AED,2026-04-14,2026-03-31T07:44:02Z,paid,CUST-00005,N/A,wallet
9108,TS-011,Tadweer,GOVERNMENT,4913.55,AED,2026-04-16,2026-04-10T08:13:47Z,paid,CUST-00084,0949,wallet
9109,ADWEA-002,ADWEA,UTILITIES,2963.66,AED,2026-04-20,2026-03-31T23:15:41Z,paid,CUST-00089,0750,linked_account_USD
9110,ETI-019,Etisalat,TELECOM,4072.48,AED,2026-04-25,2026-04-05T17:02:44Z,paid,CUST-00006,4630,linked_account_AED
9111,SZHP-007,Sharjah Police Fines,GOVERNMENT,3031.96,AED,2026-03-30,2026-04-12T19:18:53Z,paid,CUST-00005,N/A,linked_account_AED
9112,DH-012,Daman Health,INSURANCE,655.76,AED,2026-04-25,2026-03-31T14:36:23Z,paid,CUST-00007,N/A,wallet
9113,RTA-009,RTA Salik,GOVERNMENT,3580.01,AED,2026-03-28,2026-03-31T05:33:57Z,paid,CUST-00010,N/A,linked_account_AED
9114,EI-010,Emirates ID,GOVERNMENT,2542.05,AED,2026-04-26,2026-04-07T01:20:38Z,paid,CUST-00093,N/A,wallet
9115,ETI-019,Etisalat,TELECOM,4564.64,AED,2026-04-01,,failed,CUST-00008,4996,wallet
9116,SZHP-007,Sharjah Police Fines,GOVERNMENT,3638.31,AED,2026-04-02,2026-04-15T14:04:58Z,paid,CUST-00093,N/A,wallet
9117,DEWA-001,DEWA,UTILITIES,2519.59,AED,2026-04-26,2026-03-29T10:39:02Z,paid,CUST-00083,4921,wallet
9118,DU-020,du,TELECOM,4280.14,AED,2026-04-15,2026-04-08T10:15:09Z,paid,CUST-00083,7274,wallet
9119,ETI-019,Etisalat,TELECOM,1927.67,AED,2026-04-06,2026-04-24T11:06:48Z,paid,CUST-00092,4999,linked_account_USD
9120,SZHP-007,Sharjah Police Fines,GOVERNMENT,4689.26,AED,2026-03-29,2026-04-10T16:16:39Z,paid,CUST-00100,4301,wallet
9121,SZHP-007,Sharjah Police Fines,GOVERNMENT,3642.64,AED,2026-04-08,2026-04-06T05:52:09Z,paid,CUST-00096,0935,linked_account_USD
9122,DLD-008,Dubai Land Department,GOVERNMENT,4764.74,AED,2026-03-29,2026-04-01T00:57:29Z,paid,CUST-00085,N/A,wallet
9123,DLD-008,Dubai Land Department,GOVERNMENT,2363.30,AED,2026-03-29,2026-04-26T06:18:37Z,paid,CUST-00009,4495,wallet
9124,EI-010,Emirates ID,GOVERNMENT,1514.33,AED,2026-04-09,2026-03-28T02:50:08Z,paid,CUST-00009,N/A,linked_account_USD
9125,DU-020,du,TELECOM,3923.01,AED,2026-04-02,,scheduled,CUST-00001,N/A,linked_account_USD
9126,DH-012,Daman Health,INSURANCE,1638.90,AED,2026-04-19,,scheduled,CUST-00085,7581,linked_account_AED
9127,DEWA-001,DEWA,UTILITIES,2358.88,AED,2026-03-28,2026-03-30T23:30:16Z,paid,CUST-00007,6694,linked_account_USD
9128,ADWEA-002,ADWEA,UTILITIES,1418.41,AED,2026-04-08,2026-04-23T21:23:03Z,paid,CUST-00085,N/A,linked_account_AED
9129,DU-020,du,TELECOM,4351.82,AED,2026-04-23,2026-04-18T12:41:54Z,paid,CUST-00005,0812,wallet
9130,DH-012,Daman Health,INSURANCE,240.58,AED,2026-04-06,2026-04-05T15:00:11Z,paid,CUST-00089,5199,linked_account_USD
9131,ETI-019,Etisalat,TELECOM,351.02,AED,2026-04-05,,failed,CUST-00009,N/A,linked_account_USD
9132,DEWA-001,DEWA,UTILITIES,3022.87,AED,2026-04-16,2026-04-02T09:22:29Z,paid,CUST-00085,1854,wallet
9133,ETI-019,Etisalat,TELECOM,1662.66,AED,2026-04-16,,scheduled,CUST-00092,6815,linked_account_USD
9134,DLD-008,Dubai Land Department,GOVERNMENT,4385.47,AED,2026-04-23,2026-03-28T12:49:57Z,paid,CUST-00096,N/A,linked_account_AED
9135,DH-012,Daman Health,INSURANCE,1904.84,AED,2026-03-28,,failed,CUST-00090,0510,linked_account_AED
9136,DEWA-001,DEWA,UTILITIES,1489.82,AED,2026-04-23,,failed,CUST-00001,1740,linked_account_AED
9137,EI-010,Emirates ID,GOVERNMENT,3593.05,AED,2026-04-04,2026-03-29T18:31:09Z,paid,CUST-00093,5636,linked_account_AED
9138,TS-011,Tadweer,GOVERNMENT,211.37,AED,2026-04-04,2026-04-23T04:36:18Z,paid,CUST-00003,N/A,linked_account_USD
9139,ADWEA-002,ADWEA,UTILITIES,4245.60,AED,2026-04-11,,scheduled,CUST-00090,N/A,linked_account_AED
9140,DU-020,du,TELECOM,1015.37,AED,2026-04-09,2026-04-15T03:41:09Z,paid,CUST-00081,N/A,wallet
9141,RTA-009,RTA Salik,GOVERNMENT,1608.34,AED,2026-04-24,2026-04-05T09:31:44Z,paid,CUST-00094,N/A,wallet
9142,SZHP-007,Sharjah Police Fines,GOVERNMENT,2824.26,AED,2026-04-25,,failed,CUST-00091,7932,linked_account_AED
9143,DLD-008,Dubai Land Department,GOVERNMENT,1187.33,AED,2026-04-01,,scheduled,CUST-00005,8808,linked_account_AED
9144,DH-012,Daman Health,INSURANCE,2944.54,AED,2026-04-23,2026-04-13T01:45:17Z,paid,CUST-00081,5142,wallet
9145,DLD-008,Dubai Land Department,GOVERNMENT,2134.06,AED,2026-04-23,2026-04-17T09:11:31Z,paid,CUST-00099,N/A,wallet
9146,SEWA-003,SEWA,UTILITIES,647.90,AED,2026-04-19,,scheduled,CUST-00093,7698,wallet
9147,DEWA-001,DEWA,UTILITIES,4177.60,AED,2026-04-27,2026-04-23T10:55:55Z,paid,CUST-00005,N/A,linked_account_AED
9148,SZHP-007,Sharjah Police Fines,GOVERNMENT,680.89,AED,2026-04-05,2026-04-12T18:10:26Z,paid,CUST-00004,N/A,linked_account_USD
9149,TS-011,Tadweer,GOVERNMENT,3102.32,AED,2026-04-04,2026-04-09T18:26:40Z,paid,CUST-00085,N/A,linked_account_USD
9150,DLD-008,Dubai Land Department,GOVERNMENT,1481.99,AED,2026-04-12,2026-04-18T02:15:52Z,paid,CUST-00094,9659,wallet
9151,DEWA-001,DEWA,UTILITIES,2988.09,AED,2026-04-16,2026-04-04T23:36:10Z,paid,CUST-00083,N/A,wallet
9152,EI-010,Emirates ID,GOVERNMENT,3626.54,AED,2026-04-19,,failed,CUST-00004,N/A,linked_account_AED
9153,SZHP-007,Sharjah Police Fines,GOVERNMENT,289.03,AED,2026-04-11,,scheduled,CUST-00089,N/A,linked_account_AED
9154,SZHP-007,Sharjah Police Fines,GOVERNMENT,1951.14,AED,2026-04-03,2026-04-20T01:09:51Z,paid,CUST-00002,N/A,linked_account_USD
9155,DU-020,du,TELECOM,2896.93,AED,2026-04-08,2026-04-10T03:18:47Z,paid,CUST-00010,2713,linked_account_AED
9156,DU-020,du,TELECOM,2458.85,AED,2026-04-20,,scheduled,CUST-00010,4250,wallet
9157,DH-012,Daman Health,INSURANCE,1429.21,AED,2026-04-24,2026-04-02T07:19:26Z,paid,CUST-00095,2766,linked_account_USD
9158,DEWA-001,DEWA,UTILITIES,4801.29,AED,2026-04-10,2026-04-17T12:39:15Z,paid,CUST-00001,8001,linked_account_AED
9159,ETI-019,Etisalat,TELECOM,1445.10,AED,2026-03-28,2026-04-05T09:44:31Z,paid,CUST-00087,N/A,linked_account_AED
9160,ADWEA-002,ADWEA,UTILITIES,3595.44,AED,2026-03-29,,scheduled,CUST-00085,N/A,linked_account_AED
9161,ADWEA-002,ADWEA,UTILITIES,4329.29,AED,2026-04-19,2026-04-21T08:18:41Z,paid,CUST-00082,1295,linked_account_USD
9162,ADWEA-002,ADWEA,UTILITIES,1669.22,AED,2026-04-11,2026-04-04T23:40:34Z,paid,CUST-00091,8402,linked_account_USD
9163,SZHP-007,Sharjah Police Fines,GOVERNMENT,4466.75,AED,2026-04-26,2026-04-01T16:38:43Z,paid,CUST-00081,3119,linked_account_USD
9164,DH-012,Daman Health,INSURANCE,89.45,AED,2026-04-23,2026-04-16T07:26:15Z,paid,CUST-00092,N/A,linked_account_AED
9165,SEWA-003,SEWA,UTILITIES,2448.31,AED,2026-04-22,2026-04-13T06:44:52Z,paid,CUST-00005,3253,linked_account_USD
9166,ETI-019,Etisalat,TELECOM,65.83,AED,2026-04-25,2026-03-28T07:52:50Z,paid,CUST-00007,2918,linked_account_AED
9167,DU-020,du,TELECOM,3086.22,AED,2026-04-07,2026-04-10T01:43:51Z,paid,CUST-00086,8691,linked_account_AED
9168,ETI-019,Etisalat,TELECOM,4381.44,AED,2026-04-06,2026-04-07T23:02:32Z,paid,CUST-00090,N/A,linked_account_AED
9169,ADWEA-002,ADWEA,UTILITIES,1133.71,AED,2026-03-28,,scheduled,CUST-00095,N/A,linked_account_AED
9170,SZHP-007,Sharjah Police Fines,GOVERNMENT,1274.61,AED,2026-04-14,2026-04-04T10:32:37Z,paid,CUST-00081,N/A,linked_account_USD
9171,DLD-008,Dubai Land Department,GOVERNMENT,3538.85,AED,2026-04-03,,scheduled,CUST-00097,N/A,linked_account_USD
9172,ETI-019,Etisalat,TELECOM,193.36,AED,2026-04-19,2026-04-07T03:28:26Z,paid,CUST-00002,N/A,linked_account_AED
9173,DH-012,Daman Health,INSURANCE,1622.21,AED,2026-04-15,,scheduled,CUST-00084,N/A,wallet
9174,DU-020,du,TELECOM,2453.25,AED,2026-04-20,2026-04-24T18:50:21Z,paid,CUST-00010,N/A,wallet
9175,TS-011,Tadweer,GOVERNMENT,4384.33,AED,2026-04-10,2026-04-21T15:28:23Z,paid,CUST-00090,5401,linked_account_USD
9176,EI-010,Emirates ID,GOVERNMENT,148.60,AED,2026-04-04,2026-04-08T14:12:50Z,paid,CUST-00003,N/A,linked_account_USD
9177,ADWEA-002,ADWEA,UTILITIES,3291.91,AED,2026-04-11,2026-04-01T00:07:45Z,paid,CUST-00007,N/A,linked_account_USD
9178,ETI-019,Etisalat,TELECOM,1486.43,AED,2026-04-22,,failed,CUST-00081,6773,linked_account_USD
9179,ETI-019,Etisalat,TELECOM,4703.07,AED,2026-04-26,,scheduled,CUST-00095,8627,linked_account_USD
9180,DLD-008,Dubai Land Department,GOVERNMENT,3967.15,AED,2026-04-26,2026-04-12T08:45:59Z,paid,CUST-00001,3768,wallet
9181,DU-020,du,TELECOM,3762.08,AED,2026-04-01,,scheduled,CUST-00091,6565,linked_account_USD
9182,DU-020,du,TELECOM,4316.82,AED,2026-04-25,2026-04-06T20:02:50Z,paid,CUST-00001,0241,wallet
9183,TS-011,Tadweer,GOVERNMENT,3973.47,AED,2026-04-21,,scheduled,CUST-00098,N/A,linked_account_AED
9184,EI-010,Emirates ID,GOVERNMENT,3730.24,AED,2026-04-18,2026-04-17T03:52:35Z,paid,CUST-00004,N/A,linked_account_AED
9185,DU-020,du,TELECOM,2176.20,AED,2026-04-20,,failed,CUST-00088,N/A,linked_account_AED
9186,EI-010,Emirates ID,GOVERNMENT,2557.64,AED,2026-04-15,2026-04-02T20:54:45Z,paid,CUST-00094,N/A,linked_account_USD
9187,ADWEA-002,ADWEA,UTILITIES,2288.74,AED,2026-04-09,,failed,CUST-00083,N/A,linked_account_AED
9188,RTA-009,RTA Salik,GOVERNMENT,2837.61,AED,2026-04-07,2026-04-20T00:29:40Z,paid,CUST-00096,1370,linked_account_USD
9189,SEWA-003,SEWA,UTILITIES,1078.03,AED,2026-03-28,2026-04-14T20:45:54Z,paid,CUST-00003,N/A,linked_account_USD
9190,RTA-009,RTA Salik,GOVERNMENT,2640.86,AED,2026-04-01,2026-04-15T17:11:59Z,paid,CUST-00002,N/A,linked_account_AED
9191,DU-020,du,TELECOM,3715.53,AED,2026-04-01,2026-04-11T09:29:31Z,paid,CUST-00093,N/A,wallet
9192,DU-020,du,TELECOM,3467.47,AED,2026-04-03,2026-04-03T06:35:31Z,paid,CUST-00088,N/A,linked_account_USD
9193,ETI-019,Etisalat,TELECOM,1643.10,AED,2026-04-05,2026-03-31T01:36:10Z,paid,CUST-00098,1334,linked_account_AED
9194,ADWEA-002,ADWEA,UTILITIES,1909.65,AED,2026-04-03,2026-04-01T18:13:38Z,paid,CUST-00094,1990,wallet
9195,RTA-009,RTA Salik,GOVERNMENT,4355.26,AED,2026-04-24,2026-04-06T09:47:31Z,paid,CUST-00086,N/A,wallet
9196,EI-010,Emirates ID,GOVERNMENT,2119.83,AED,2026-04-27,2026-04-05T20:37:48Z,paid,CUST-00010,N/A,linked_account_USD
9197,SZHP-007,Sharjah Police Fines,GOVERNMENT,2840.86,AED,2026-04-22,2026-04-01T14:22:06Z,paid,CUST-00092,N/A,linked_account_USD
